Date,Closing_Price
2021-09-02,117.37
2021-09-03,117.19
2021-09-07,115.79
2021-09-08,118.04
2021-09-09,118.79
2021-09-10,119.34
2021-09-13,119.18
2021-09-14,118.86
2021-09-15,114.64
2021-09-16,114.67
2021-09-17,113.41
2021-09-20,111.82
2021-09-21,112.22
2021-09-22,113.07
2021-09-23,114.14
2021-09-24,114.11
2021-09-27,113.68
2021-09-28,111.71
2021-09-29,112.17
2021-09-30,110.31
2021-10-01,112.92
2021-10-04,111.46
2021-10-05,110.85
2021-10-06,111.64
2021-10-07,112.21
2021-10-08,111.22
2021-10-11,110.94
2021-10-12,111
2021-10-13,110.76
2021-10-14,111.87
2021-10-15,111.45
2021-10-18,113.37
2021-10-19,113.49
2021-10-20,113.86
2021-10-21,114.44
2021-10-22,114.55
2021-10-25,114.71
2021-10-26,114.92
2021-10-27,113.51
2021-10-28,113.2
2021-10-29,106.07
2021-11-01,109.8
2021-11-02,111.45
2021-11-03,112.61
2021-11-04,112.16
2021-11-05,116.91
2021-11-08,115.16
2021-11-09,114.13
2021-11-10,113.25
2021-11-11,111.44
2021-11-12,111.72
2021-11-15,111.87
2021-11-16,112.23
2021-11-17,112.52
2021-11-18,112.9
2021-11-19,110.78
2021-11-22,111.45
2021-11-23,113.58
2021-11-24,113.97
2021-11-26,110.66
2021-11-29,110.73
2021-11-30,109.64
2021-12-01,108.66
2021-12-02,111.42
2021-12-03,111.24
2021-12-06,113.36
2021-12-07,116.26
2021-12-08,116.25
2021-12-09,115.35
2021-12-10,116.73
2021-12-13,115.56
2021-12-14,114.71
2021-12-15,114.68
2021-12-16,113.59
2021-12-17,108.63
2021-12-20,108.09
2021-12-21,110.37
2021-12-22,111.74
2021-12-23,112.37
2021-12-27,114.22
2021-12-28,115.57
2021-12-29,116.38
2021-12-30,116.24
2021-12-31,116.97
2022-01-03,116.68
2022-01-04,114.24
2022-01-05,110.44
2022-01-06,111.14
2022-01-07,107.57
2022-01-10,106.03
2022-01-11,104.04
2022-01-12,103.87
2022-01-13,102.4
2022-01-14,100.12
2022-01-18,97.73
2022-01-19,96.87
2022-01-20,95.72
2022-01-21,96.31
2022-01-24,98.1
2022-01-25,97.01
2022-01-26,95.58
2022-01-27,95.32
2022-01-28,97.21
2022-01-31,98.32
2022-02-01,98.76
2022-02-02,97.73
2022-02-03,95.94
2022-02-04,95
2022-02-07,95.19
2022-02-08,94.92
2022-02-09,97.13
2022-02-10,95.31
2022-02-11,93.73
2022-02-14,93.65
2022-02-15,94.51
2022-02-16,95.18
2022-02-17,93.05
2022-02-18,93.34
2022-02-22,93.11
2022-02-23,89.65
2022-02-24,91.01
2022-02-25,92.58
2022-02-28,91.79
2022-03-01,90.14
2022-03-02,92.77
2022-03-03,91.53
2022-03-04,90.03
2022-03-07,84.46
2022-03-08,84
2022-03-09,87.6
2022-03-10,87.16
2022-03-11,82.73
2022-03-14,79.29
2022-03-15,83.12
2022-03-16,87.41
2022-03-17,87.66
2022-03-18,89.6
2022-03-21,86.86
2022-03-22,87.89
2022-03-23,86.22
2022-03-24,87.12
2022-03-25,87.45
2022-03-28,88.38
2022-03-29,91.23
2022-03-30,91.03
2022-03-31,90.97
2022-04-01,91.49
2022-04-04,88.09
2022-04-05,84.12
2022-04-06,83.36
2022-04-07,83.12
2022-04-08,81.52
2022-04-11,80.68
2022-04-12,79.79
2022-04-13,80.92
2022-04-14,79.5
2022-04-18,79.6
2022-04-19,81.22
2022-04-20,80.17
2022-04-21,78.96
2022-04-22,77.92
2022-04-25,77.98
2022-04-26,75.63
2022-04-27,74.74
2022-04-28,76.58
2022-04-29,74.64
2022-05-02,75.37
2022-05-03,74.33
2022-05-04,81.64
2022-05-05,77.48
2022-05-06,76.52
2022-05-09,73.49
2022-05-10,71.86
2022-05-11,70.06
2022-05-12,69.9
2022-05-13,75.6
2022-05-16,72.42
2022-05-17,73.72
2022-05-18,71.28
2022-05-19,71.93
2022-05-20,73.39
2022-05-23,73.42
2022-05-24,72.72
2022-05-25,72.48
